ticker,side,qty,entry_price,opened_at
AUR,buy,11,7.09,2026-05-06 14:16:05
AXTI,buy,399,96.9959,2026-05-06 14:16:04
BAND,buy,907,47.13,2026-05-06 14:16:04
DOCN,buy,281,152.6144,2026-05-06 14:16:04
ESPR,buy,13763,3.13,2026-05-06 14:16:04
EXTR,buy,1811,23.7,2026-05-06 14:16:05
FIVN,buy,1770,22.51,2026-05-06 14:16:04
GBTG,buy,4529,9.4,2026-05-06 14:16:04
HIVE,buy,1,2.88,2026-05-06 14:16:05
KALV,buy,1607,26.72,2026-05-06 14:16:05
LWLG,buy,2568,15.08,2026-05-06 14:16:04
MXL,buy,525,80.81,2026-05-06 14:16:04
SIMO,buy,180,234.07,2026-05-06 14:16:04
TEAM,buy,449,87.45,2026-05-06 14:16:05
TWLO,buy,219,192.75,2026-05-06 14:16:05
