ticker,side,qty,entry_price,exit_price,pnl,strategy_id,regime,opened_at,closed_at,hold_days,account
AGL,buy,71,18.13,,,15,choppy,2026-04-08 13:32:29,2026-04-14,3,personal
AGL,buy,716,18.14,,0.0,15,choppy,2026-04-08 13:32:29,2026-04-14,1,c2
AGL,buy,602,17.27,,0.0,15,choppy,2026-04-09 13:27:42,2026-04-14,1,c2
AIXI,buy,5128,1.21,,0.0,15,choppy,2026-04-09 13:27:42,2026-04-14,1,c2
BUR,sell,229,4.12,,0.0,13,trending_bear,2026-04-06 13:37:02,2026-04-14,2,personal
DHLGY,sell,36,26.14,,0.0,13,trending_bear,2026-04-02 13:52:59,2026-04-14,0,personal
DHLGY,sell,35,26.6,,-65.45,13,trending_bear,2026-04-06 13:37:02,2026-04-14,4,personal
LNKS,buy,5102,2.23,,,15,choppy,2026-04-10 16:23:44,2026-04-14,2,c2
LNKS,buy,427,1.82,,,15,choppy,2026-04-08 13:32:29,2026-04-14,3,personal
LNKS,buy,4291,1.82,,0.0,15,choppy,2026-04-08 13:32:29,2026-04-14,1,c2
LNKS,buy,5917,1.99,,0.0,15,choppy,2026-04-09 13:27:42,2026-04-14,1,c2
LPCN,sell,463,2.07,,0.0,13,trending_bear,2026-04-06 13:37:02,2026-04-14,4,personal
MOBX,buy,284,2.93,,,15,choppy,2026-04-08 13:32:29,2026-04-14,3,personal
MOBX,buy,2857,2.93,,0.0,15,choppy,2026-04-08 13:32:29,2026-04-14,1,c2
NCT,buy,558,,,,15,choppy,2026-04-08 13:32:29,2026-04-14,0,personal
NCT,buy,2218,,,,15,choppy,2026-04-13 13:25:13,2026-04-14,1,personal
NCT,buy,6134,1.94,,0.0,15,choppy,2026-04-09 13:27:42,2026-04-14,1,c2
PEPG,sell,574,1.7,,0.0,13,trending_bear,2026-04-02 13:52:59,2026-04-14,0,personal
PEPG,sell,549,1.68,,-21.96,13,trending_bear,2026-04-06 13:37:02,2026-04-14,4,personal
PSTV,buy,298,3.15,,,15,choppy,2026-04-08 13:32:29,2026-04-14,3,personal
PSTV,buy,3003,3.15,,0.0,15,choppy,2026-04-08 13:32:29,2026-04-14,1,c2
SNBR,sell,805,1.17,,0.0,13,trending_bear,2026-04-06 13:37:02,2026-04-14,2,personal
