ticker,side,qty,entry_price,exit_price,pnl,opened_at,closed_at,hold_days
AAOI,buy,248,180.98,180.54,-109.12,2026-05-05 19:40:29,2026-05-05,0
AAOI,buy,248,180.98,,-109.12,2026-05-05 13:54:24,2026-05-05,1
AUR,buy,6667,6.52,6.53,66.67,2026-05-05 19:40:29,2026-05-05,0
AUR,buy,6667,6.52,,66.67,2026-05-05 13:54:21,2026-05-05,1
CNSP,buy,5477,5.74,6.51,4217.29,2026-05-05 13:54:18,2026-05-05,0
CUE,buy,1438,31.0,,4443.42,2026-05-05 13:54:20,2026-05-05,0
DK,buy,893,48.77,49.03,232.18,2026-05-05 19:40:29,2026-05-05,0
DK,buy,893,48.77,,232.18,2026-05-05 13:54:24,2026-05-05,1
DXYZ,buy,1114,39.2,,-2372.82,2026-05-05 13:54:21,2026-05-05,0
ELPW,buy,5858,7.75,,-3163.32,2026-05-05 13:54:19,2026-05-05,0
ESPR,buy,13763,3.12,3.11,-137.63,2026-05-05 19:40:29,2026-05-05,0
ESPR,buy,13763,3.12,,-137.63,2026-05-05 13:54:20,2026-05-05,1
EXTR,buy,1880,23.4,23.69,545.2,2026-05-05 19:40:29,2026-05-05,0
EXTR,buy,1880,23.4,,545.2,2026-05-05 13:54:21,2026-05-05,1
GLXY,buy,1472,29.93,30.31,559.36,2026-05-05 19:40:29,2026-05-05,0
GLXY,buy,1472,29.93,,559.36,2026-05-05 13:54:25,2026-05-05,1
HCAI,buy,2359,17.43,,-4552.87,2026-05-05 13:54:19,2026-05-05,0
LWLG,buy,2719,15.4041,,4257.6821,2026-05-05 13:54:22,2026-05-05,0
MXL,buy,549,82.149,81.64,-279.441,2026-05-05 19:40:29,2026-05-05,0
MXL,buy,549,82.149,,-279.441,2026-05-05 13:54:20,2026-05-05,1
NBIS,buy,243,173.85,175.8,473.85,2026-05-05 19:40:29,2026-05-05,0
NBIS,buy,243,173.85,,473.85,2026-05-05 13:54:23,2026-05-05,1
NEXT,buy,5040,8.24,,-2419.2,2026-05-05 13:54:24,2026-05-05,0
NOK,buy,3267,13.7784,13.41,-1203.5628,2026-05-05 19:40:29,2026-05-05,0
NOK,buy,3267,13.7784,,-1203.5628,2026-05-05 13:54:23,2026-05-05,1
NXPI,buy,147,290.75,292.2,213.15,2026-05-05 19:40:29,2026-05-05,0
NXPI,buy,147,290.75,,213.15,2026-05-05 13:54:22,2026-05-05,1
PI,buy,299,145.73,149.78,1210.95,2026-05-05 19:40:29,2026-05-05,0
PI,buy,299,145.73,,1210.95,2026-05-05 13:54:24,2026-05-05,1
VIAV,buy,818,55.17,53.96,-989.78,2026-05-05 19:40:29,2026-05-05,0
VIAV,buy,818,55.17,,-989.78,2026-05-05 13:54:24,2026-05-05,1
ZM,buy,402,106.63,109.11,996.96,2026-05-05 19:40:29,2026-05-05,0
ZM,buy,402,106.63,,996.96,2026-05-05 13:54:24,2026-05-05,1
